id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4521945603973586,24,4521949956922415,2020-07-01 18:45:46,2,,担心砸到花花草草的小懵懂,1895190241,m,33,107,它要是出来了，就让我和它挨着……
4799930991122862,1,4800097499482630,2022-08-08 07:44:48,1,来自湖南,人生体验队长,7010507817,f,418,25,感觉提出的几条都很中肯
4799851546806026,1,4799868859582150,2022-08-07 16:36:16,1,来自贵州,罗一罗,7524419514,m,167,31.6万,这是维权的新里程碑。希望李子柒的案件也能够维权成功。#谭谈交通重新上线#
4797621983772844,1,4797626102844737,2022-08-01 12:04:21,4,来自江苏,华阿姨的凉亭,6633106681,f,168,35,鲨鱼肉不贵的，以前外面读书时学校餐厅就有，但可能品种不一样吧
4797621983772844,2,4797630510533964,2022-08-01 12:21:51,1,来自山东,畅畅常常长长,1403265165,m,98,411,又回到了平台不负责任的话题，如果这些责任都落实好，平台分分钟关门
4797552781690689,2,4797555311382084,2022-08-01 07:23:03,7,来自江苏,就是超酷,6325169589,f,618,65,啊啊 ，假的怎么啦 ，我就爱看，我俗人我就觉得拍的很好
4797552781690689,1,4797552782215395,2022-08-01 07:13:00,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“二舅[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 二舅
4796989013492769,2,4796991337139628,2022-07-30 18:02:01,3,来自云南,Bunny爱煎蛋,1763393723,f,404,1855,我最关心李子柒啥时候回来，她是我国现在最有影响力的外宣了在油管上真的很火！可惜！
4796989013492769,1,4796990879435223,2022-07-30 18:00:12,0,来自湖南,闵闵is_my_dream,7489363288,f,29,4,我只能说有防的hg是真的好，因为他们kpop文化被很多人知道，之前我关注过中国文化输出，只能说……不太好
4793337615487429,1,4793337929796144,2022-07-20 16:04:41,0,来自陕西,江渡啊啊,7509252922,f,61,0,事不关己高高挂起可能觉得自己被开除国籍了
4793337615487429,2,4793338497338536,2022-07-20 16:06:56,0,来自山东,kl蝶羽,7680616485,f,89,11,#耐克nike抵制新疆棉花# #英特尔宣称禁用新疆产品# #宝马辱华# #阿玛尼将香港台湾称为国家# #蒂芙尼辱华# 数不胜数，现在人家都混的很好，而且基本是和上面合作
