id,父级,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4792914813387718	,0	,147,4792975412170514	,2022-07-19 16:04:10,0,,超话社区,5878659096,m,276,2.35亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792914813387718	,0	,139,4792945746907427	,2022-07-19 14:06:17,0,,微博创作者中心,2892492275,f,585,117.7万,您的博文已进入公域场景推荐流曝光~了解平台政策、提升创作技巧、实现快速成长，创作者学院助您解锁流量密码，详情见网页链接
4792914813387718	,0	,131,4792924325546815	,2022-07-19 12:41:10,12,来自上海,快乐哈哈的小鱼,1901639260,f,352,315,为啥不存在？后续视频精彩就存在了。
4792914813387718	,0	,148,4793020551792812	,2022-07-19 19:03:31,0,来自湖南,来米虫,3859195782,f,698,117,到底是谁起诉谁啊
4792914813387718	,0	,146,4792972933863067	,2022-07-19 15:54:19,5,来自重庆,Mike爱phoebe,5808363979,f,51,21,我之前看别人分析，说公司通过她能赚上亿的钱，但是她本人相当于只能拿到几百万，就是分配不公，才出的事情
4792914813387718	,0	,141,4792970153034870	,2022-07-19 15:43:16,3,来自广东,屎壳郎铲屎官,6758138838,f,112,63,就等她重新更新，等了好久
4792914813387718	,0	,143,4792971210526654	,2022-07-19 15:47:28,1,来自江苏,那悲伤沫念,5653283067,f,382,82,希望子7⃣️能赢，加油
4792914813387718	,0	,145,4792972824543509	,2022-07-19 15:53:52,0,来自山东,V超时空蓝染V,6753349785,m,213,32,#李子柒#  希望可以再看到她的视频
4792914813387718	,0	,144,4792972224499758	,2022-07-19 15:51:30,0,来自河南,2319tt,6502566526,f,119,2,挺喜欢，早日回归
4792914813387718	,0	,138,4792944295677516	,2022-07-19 14:00:31,0,来自重庆,软萌灰兔兔,6527017673,m,49,118,人就是什么都想要（不排除你最后一句话也是勾引观众发评论的手段）
4792914813387718	,0	,134,4792929094209349	,2022-07-19 13:00:07,0,来自江苏,沙式比亚猪,7610457282,f,76,6,李子柒？
4792914813387718	,0	,114,4792915689475556	,2022-07-19 12:06:51,0,来自湖北,广商10计二,2709416077,m,203,49,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,106,4792915676628733	,2022-07-19 12:06:48,0,来自河南,更爱游泳圈,2822182023,m,549,15,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,90,4792915635733805	,2022-07-19 12:06:38,0,来自江西,assdkkkl,2649161891,m,373,29,﻿看完必须赞一下，感谢博主！
4792914813387718	,0	,89,4792915634684434	,2022-07-19 12:06:37,0,来自陕西,赵天乐V,1439948977,m,134,172,谢谢博主的分享！学到了
4792914813387718	,0	,88,4792915631805413	,2022-07-19 12:06:37,0,来自江苏,我们都在平凡中寻找快乐少爷,6360732208,m,109,59,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,62,4792915605587219	,2022-07-19 12:06:30,0,来自山东,woniu先生,5653421106,m,105,35,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,44,4792915597461432	,2022-07-19 12:06:29,0,来自河南,森v少,2423831715,m,287,139,真的很好，爱了，转走！
4792914813387718	,0	,42,4792915597198925	,2022-07-19 12:06:29,0,来自河南,爱晒太阳的Pig少年,5402673210,m,236,46,留下我的评论，最起码知道我来看过你
4792914813387718	,0	,45,4792915596938262	,2022-07-19 12:06:29,0,来自河南,小小太阳能呀,2006709153,m,363,148,我会一直关注下去，希望越来越好
4792914813387718	,0	,22,4792915593265193	,2022-07-19 12:06:27,0,来自江苏,容桂中学__初二5班,2697854900,f,15,32,喜欢，这就是我关注的
4792914813387718	,0	,142,4792971029383129	,2022-07-19 15:46:45,0,来自重庆,敢为531,7578754270,m,35,0,质量很好
4792914813387718	,0	,116,4792915689476292	,2022-07-19 12:06:51,0,来自海南,qijing邱_680,2808631560,f,53,4,留下我的评论，最起码知道我来看过你
4792914813387718	,0	,104,4792915676627237	,2022-07-19 12:06:47,1,来自贵州,chunjie629330,3635885874,m,54,2,棒棒的，爱了，转走
4792914813387718	,0	,133,4792928402933879	,2022-07-19 12:57:21,0,来自河南,广千陵···,6080001158,f,114,34,转发微博
4792914813387718	,0	,128,4792923734409478	,2022-07-19 12:38:48,0,来自河北,荷花香艳,6084486892,f,208,185,李子柒塌方了吗
4792914813387718	,0	,127,4792923273036480	,2022-07-19 12:36:58,1,来自广东,玉林猫舍,2619383931,m,479,148,自己开账号吧！无条件支持
4792914813387718	,0	,122,4792922073203855	,2022-07-19 12:32:12,0,来自河北,疯女人wind,6093001658,m,29,11,李子柒
4792914813387718	,0	,119,4792921583261433	,2022-07-19 12:30:16,0,来自浙江,shaosylvia2479,6393439256,f,6,0,人家太子给钱啦
4792914813387718	,0	,118,4792915702054942	,2022-07-19 12:06:53,0,来自海南,林-紫瑾,2035962653,f,165,24,棒棒的，爱了，转走
4792914813387718	,0	,110,4792915680825179	,2022-07-19 12:06:49,0,来自江苏,默默哭闹苦笑,2009259855,f,243,80,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,94,4792915664833023	,2022-07-19 12:06:45,0,来自广东,霆茫茫,2862199771,m,146,37,谢谢博主的分享！学到了
4792914813387718	,0	,93,4792915664306278	,2022-07-19 12:06:44,0,来自江苏,沙式比亚猪,7610457282,f,76,6,我写下这句评论，说明我来过，我看过，我喜欢上了。你说咋办？
4792914813387718	,0	,86,4792915631276084	,2022-07-19 12:06:36,0,来自江苏,水瓶超0126,3854826562,m,65,2,谢谢博主的分享！学到了
4792914813387718	,0	,82,4792915627084788	,2022-07-19 12:06:36,0,来自江苏,勿忘我的花语85_214,5202537792,f,580,6,突然爱上了，怎么办
4792914813387718	,0	,84,4792915627086772	,2022-07-19 12:06:36,0,来自江苏,虚无漂渺11女郎_663,2904242390,f,134,8,这也太美了吧
4792914813387718	,0	,81,4792915623153921	,2022-07-19 12:06:35,0,来自河南,晴天玉儿2,5609318198,f,496,117,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,80,4792915618434253	,2022-07-19 12:06:34,0,来自海南,如果西瓜不可以吃-,3721917582,m,159,1,这也太了
4792914813387718	,0	,78,4792915618956063	,2022-07-19 12:06:33,0,来自江苏,思埠下的小花_314,5092883822,f,220,3,来了！转一下
4792914813387718	,0	,69,4792915615024634	,2022-07-19 12:06:32,0,来自河南,见过陌大人,2761753110,f,313,8,之前好喜欢看李子柒不明白为什么不更了？
4792914813387718	,0	,71,4792915613976278	,2022-07-19 12:06:33,0,来自河南,耶稣基督958,1098060620,m,149,138,支持你哦
4792914813387718	,0	,67,4792915613974702	,2022-07-19 12:06:32,0,来自内蒙古,密小柚,3754154694,f,427,14,突然爱上了，怎么办
4792914813387718	,0	,74,4792915613977755	,2022-07-19 12:06:33,0,来自江苏,just_rich,3538926741,m,396,26,太喜欢了，谢谢博主的分享，赞了，关注
4792914813387718	,0	,68,4792915613975350	,2022-07-19 12:06:33,0,来自河南,yobobo冰淇淋,3057372131,f,250,3,太喜欢了，谢谢博主的分享，赞了，关注
4792914813387718	,0	,65,4792915609780392	,2022-07-19 12:06:31,0,来自内蒙古,旧时光time小窝,2867377100,f,573,13,突然爱上了，怎么办
4792914813387718	,0	,63,4792915606113676	,2022-07-19 12:06:31,0,来自江苏,山水飞鹰,2522047827,m,254,146,之前好喜欢看李子柒 不明白为什么不更了？
4792914813387718	,0	,51,4792915601653935	,2022-07-19 12:06:29,0,来自广西,不敗的魔術師YangWenLi,3777905473,m,498,60,突然爱上了，怎么办
4792914813387718	,0	,52,4792915601916502	,2022-07-19 12:06:29,0,来自广西,虚作之兰,1834868077,f,1281,167,太喜欢了，谢谢博主的分享，赞了，关注
4792914813387718	,0	,54,4792915602441750	,2022-07-19 12:06:29,0,来自广西,青蛙蛋少女,5647227294,f,653,4,爱了！只有你
4792914813387718	,0	,50,4792915597991349	,2022-07-19 12:06:29,0,来自广西,南止梧桐,1858871060,f,465,24,爱了！只有你
4792914813387718	,0	,49,4792915596939667	,2022-07-19 12:06:29,0,来自广西,woodorw_55372,3379703222,m,287,14,必须赞，支持一下吧
4792914813387718	,0	,36,4792915596935280	,2022-07-19 12:06:28,0,来自重庆,飘零的雨168,2653748960,f,711,61,之前好喜欢看李子柒不明白为什么不更了？
